group_id,group_URLName,event_id,event_name,time,event_url
218324,ProfessionalsInNewYorkCity,267069244,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/ProfessionalsInNewYorkCity/events/267069244/
228267,Zorkas-Chocoholics,267439350,NewYear's Eve Party,1577844000000,https://www.meetup.com/Zorkas-Chocoholics/events/267439350/
237101,NYC-and-More-Fun-things-to-do,266938327,Long Island New Years Eve Singles Party: Dance & Mingle,1577838600000,https://www.meetup.com/NYC-and-More-Fun-things-to-do/events/266938327/
237462,socialsnyc,267091060,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/socialsnyc/events/267091060/
237462,socialsnyc,267278443,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/socialsnyc/events/267278443/
237462,socialsnyc,267004623,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/socialsnyc/events/267004623/
237462,socialsnyc,267069282,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/socialsnyc/events/267069282/
272057,Networkingnewyork,266196398,BRUCE'S 11th ANNUAL NEW YEARS EVE PARTY,1577840400000,https://www.meetup.com/Networkingnewyork/events/266196398/
278104,hotlist,267091175,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/hotlist/events/267091175/
278104,hotlist,267278335,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/hotlist/events/267278335/
278104,hotlist,267004684,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/hotlist/events/267004684/
278104,hotlist,266670311,NYE Roaring 20’s Countdown Bash,1577844000000,https://www.meetup.com/hotlist/events/266670311/
291209,nyc-bike-food,267474993,New Year's Eve ride and dance party,1577847600000,https://www.meetup.com/nyc-bike-food/events/267474993/
317159,happyhournyc,267090506,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/happyhournyc/events/267090506/
317159,happyhournyc,267003147,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/happyhournyc/events/267003147/
317159,happyhournyc,267068643,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/happyhournyc/events/267068643/
321109,PlansForPups,fxbfvqyzqbpc,Yappy Hour,1577836800000,https://www.meetup.com/PlansForPups/events/267418156/
342580,Dance-Salsa-in-Stamford,lvllxqyzqbnc,Salsa Shines Drop in Class,1577755800000,https://www.meetup.com/Salsa-Tango-in-Stamford/events/267405994/
342580,Dance-Salsa-in-Stamford,zwddlryzqbpc,NY Style Partner Work Drop in Class,1577842200000,https://www.meetup.com/Salsa-Tango-in-Stamford/events/267420652/
344877,Awesome-Things-to-Do,267091141,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/Awesome-Things-to-Do/events/267091141/
344877,Awesome-Things-to-Do,267278646,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/Awesome-Things-to-Do/events/267278646/
344877,Awesome-Things-to-Do,267069315,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/Awesome-Things-to-Do/events/267069315/
344877,Awesome-Things-to-Do,267534589,New Year's Eve Party 20's - 40's,1577840400000,https://www.meetup.com/Awesome-Things-to-Do/events/267534589/
344877,Awesome-Things-to-Do,266800840,"Casual & Fun New Years Eve Party 20s- 40s: Live D.J., Appetizers, Fun & Games",1577840400000,https://www.meetup.com/Awesome-Things-to-Do/events/266800840/
344877,Awesome-Things-to-Do,266801065,"45+Plus NYE Party: Upscale, Friendly, Cozy, Live DJ, Appetizers, Games & Prizes",1577840400000,https://www.meetup.com/Awesome-Things-to-Do/events/266801065/
344877,Awesome-Things-to-Do,267004683,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/Awesome-Things-to-Do/events/267004683/
344877,Awesome-Things-to-Do,266670327,NYE Roaring 20’s Countdown Bash,1577844000000,https://www.meetup.com/Awesome-Things-to-Do/events/266670327/
355348,open-taichi,rnwggqyzqbpc,Noten Meditation (野天禅),1577835000000,https://www.meetup.com/taiji_ew/events/267417932/
364055,MixandMingleNYC,267087309,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/MixandMingleNYC/events/267087309/
364055,MixandMingleNYC,267274034,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/MixandMingleNYC/events/267274034/
364055,MixandMingleNYC,266999163,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/MixandMingleNYC/events/266999163/
364055,MixandMingleNYC,267093352,40 & Over Singles New Year's Eve Party,1577840400000,https://www.meetup.com/MixandMingleNYC/events/267093352/
364055,MixandMingleNYC,266670299,NYE Roaring 20’s Countdown Bash,1577844000000,https://www.meetup.com/MixandMingleNYC/events/266670299/
368356,New-York-Singles-Travel,267116696,NYE Stand UP Comedy Show,1577847600000,https://www.meetup.com/New-York-Singles-Travel/events/267116696/
368534,culture,266940933,Long Island New Years Eve Singles Party: Dance & Mingle,1577838600000,https://www.meetup.com/culture/events/266940933/
378676,Zorkas-Music-Preneurs,267436783,New Year's Eve Party,1577844000000,https://www.meetup.com/Zorkas-Music-Preneurs/events/267436783/
395891,friendslinyc,267089452,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/friendslinyc/events/267089452/
395891,friendslinyc,266941033,Long Island New Years Eve Singles Party: Dance & Mingle,1577838600000,https://www.meetup.com/friendslinyc/events/266941033/
395891,friendslinyc,267067257,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/friendslinyc/events/267067257/
395891,friendslinyc,267002766,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/friendslinyc/events/267002766/
404437,NYC-Social,266921745,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/NYC-Social/events/266921745/
404437,NYC-Social,266556519,50 & Over New Year's Eve Party,1577838600000,https://www.meetup.com/NYC-Social/events/266556519/
404437,NYC-Social,266416498,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/NYC-Social/events/266416498/
404437,NYC-Social,264929716,"New Year's Eve Singles Party! (Open Bar, Comp Apps, DJ, Champagne, Giveaways)",1577840400000,https://www.meetup.com/NYC-Social/events/264929716/
413427,ZorkasNYC-Service-Businesses-Entrepreneurs,267439174,New Year's Eve Social Event,1577844000000,https://www.meetup.com/ZorkasNYC-Service-Businesses-Entrepreneurs/events/267439174/
418253,theater-125,267119644,"New Year's Eve LARGEST Singles Party (Open Bar, Comp Apps, DJ, Party Favors)",1577836800000,https://www.meetup.com/nycshowtime/events/267119644/
418253,theater-125,266932767,Long Island New Years Eve Singles Party: Dance & Mingle,1577838600000,https://www.meetup.com/nycshowtime/events/266932767/
418253,theater-125,267142693,"40s & Over New Years Eve Party! (Comp Apps, Champagne Toast, DJ & More!!)",1577840400000,https://www.meetup.com/nycshowtime/events/267142693/
418253,theater-125,267248417,New Years Eve NYC Singles Party I Ring In 2020 With 300+ NY Singles 21-45,1577840400000,https://www.meetup.com/nycshowtime/events/267248417/
434790,Zorka-NYBloggers,267438021,NYC New Year's Eve Party,1577844000000,https://www.meetup.com/Zorka-NYBloggers/events/267438021/
440844,ZorkasUptown,267437387,New Years Eve Event,1577836800000,https://www.meetup.com/ZorkasUptown/events/267437387/
